:START_ID,:END_ID,direction,strength
CMP_VIT_C,EFF_ANTIOXIDANT,Increases,High
CMP_VIT_C,EFF_IMMUNITY,Supports,Medium
CMP_CURCUMIN,EFF_ANTI_INFLAM,Reduces,High
CMP_CURCUMIN,EFF_ANTIOXIDANT,Increases,High
CMP_WITHANOLIDE,EFF_ADAPTOGEN,Increases,High
CMP_WITHANOLIDE,EFF_ADAPTOGEN,Energizes,High
CMP_GINGEROL,EFF_DIGESTION,Stimulates,Medium
CMP_GINGEROL,EFF_ANTI_INFLAM,Reduces,Medium
CMP_BACOSIDE,EFF_COGNITION,Enhances,High
CMP_GLYCYRRHIZIN,EFF_RESPIRATORY,Soothes,High
CMP_BERBERINE,EFF_IMMUNITY,Modulates,High
